dataset,case_id,noise_name,split,mean_iou_noisy,mean_iou_refined,delta_iou
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_7,train,0.465254974,0.566060591,0.100805618
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_7,val,0.465956836,0.567925078,0.101968241
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_9,train,0.355893982,0.412966505,0.057072523
BCCD,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_9,val,0.351851111,0.41068475,0.058833639
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.6,train,0.35999956,0.456769351,0.096769791
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.6,val,0.359999736,0.480885838,0.120886102
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.7,train,0.489999606,0.719993725,0.229994119
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.7,val,0.489999296,0.771041243,0.281041947
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.8,train,0.639999397,0.846663247,0.20666385
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.8,val,0.639999842,0.861394118,0.221394276
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.9,train,0.810000391,0.877223136,0.067222745
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_0.9,val,0.810000496,0.876835188,0.066834692
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.1,train,0.836904395,0.898176015,0.06127162
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.1,val,0.834317459,0.890356055,0.056038595
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.2,train,0.711339817,0.89287121,0.181531393
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.2,val,0.70707054,0.890308671,0.183238131
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.3,train,0.612492537,0.831652097,0.21915956
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.3,val,0.607151617,0.845197448,0.238045831
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.4,train,0.536842106,0.760503949,0.223661843
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_scale_1.4,val,0.529402645,0.744216906,0.214814262
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_1,train,0.759576075,0.883022462,0.123446387
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_1,val,0.749938898,0.882128843,0.132189944
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_3,train,0.597900742,0.772056722,0.174155979
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_3,val,0.583569513,0.742613897,0.159044384
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_5,train,0.47853128,0.624498811,0.145967531
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_5,val,0.479575064,0.615295446,0.135720382
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_7,train,0.45600206,0.608688188,0.152686128
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_7,val,0.468693353,0.595775241,0.127081889
signature,SAM_vit_h__bexp0__mm1__pickscore__a195a0a8e8,labels_side_9,train,0.330689272,0.419289779,0.088600507
