dataset,model,case,labels_dir,class_mode,split_mode,train_fraction,train_used,train_total,effective_batch,effective_imgsz,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B)
Custom_Blood,detr,side_3,labels_side_3,multiclass,explicit,1,1105,1105,4,640,0.296441605,0.180941131,0.323516907,0.31934372
Custom_Blood,yolov8n,side_3,labels_side_3,object_only,explicit,1,1105,1105,32,640,0.552905633,0.255183766,0.510528852,0.60384577
Custom_Blood,yolo11n,side_3,labels_side_3,object_only,explicit,1,1105,1105,32,640,0.604712779,0.270421999,0.551956874,0.645922407
Custom_Blood,detr,side_3,labels_side_3,object_only,explicit,1,1105,1105,4,640,0.940373508,0.640344245,0.913435065,0.931591449
Custom_Blood,yolov8n,side_5,labels_side_5,multiclass,explicit,1,1105,1105,32,640,0.067392025,0.015813312,0.202544597,0.120062294
Custom_Blood,yolo11n,side_5,labels_side_5,multiclass,explicit,1,1105,1105,32,640,0.056006132,0.013478723,0.52771677,0.098975453
Custom_Blood,detr,side_5,labels_side_5,multiclass,explicit,1,1105,1105,4,640,0.121084936,0.037409454,0.530798512,0.184040464
Custom_Blood,yolov8n,side_5,labels_side_5,object_only,explicit,1,1105,1105,32,640,0.311276472,0.081798809,0.189980093,0.648931116
Custom_Blood,yolo11n,side_5,labels_side_5,object_only,explicit,1,1105,1105,32,640,0.346601834,0.083138422,0.320900867,0.505779889
Custom_Blood,detr,side_5,labels_side_5,object_only,explicit,1,1105,1105,4,640,0.706738098,0.312339981,0.538521298,0.820110847
Custom_Blood,yolov8n,side_7,labels_side_7,multiclass,explicit,1,1105,1105,32,640,0.06409777,0.013717936,0.277327565,0.130170784
Custom_Blood,yolo11n,side_7,labels_side_7,multiclass,explicit,1,1105,1105,32,640,0.048325657,0.010896797,0.039619077,0.13162674
Custom_Blood,detr,side_7,labels_side_7,multiclass,explicit,1,1105,1105,4,640,0.137548107,0.034908623,0.249490147,0.223878586
Custom_Blood,yolov8n,side_7,labels_side_7,object_only,explicit,1,1105,1105,32,640,0.310188008,0.066458325,0.298892232,0.52050673
Custom_Blood,yolo11n,side_7,labels_side_7,object_only,explicit,1,1105,1105,32,640,0.297471977,0.063755213,0.2759376,0.508313539
Custom_Blood,detr,side_7,labels_side_7,object_only,explicit,1,1105,1105,4,640,0.648804328,0.212316265,0.435070185,0.780997625
Custom_Blood,yolov8n,side_9,labels_side_9,multiclass,explicit,1,1105,1105,32,640,0.019477566,0.006243822,0.021059761,0.089653864
Custom_Blood,yolo11n,side_9,labels_side_9,multiclass,explicit,1,1105,1105,32,640,0.014053363,0.003628901,0.013333485,0.077409287
Custom_Blood,detr,side_9,labels_side_9,multiclass,explicit,1,1105,1105,4,640,0.030308252,0.008713694,0.257839653,0.061546415
Custom_Blood,yolov8n,side_9,labels_side_9,object_only,explicit,1,1105,1105,32,640,0.069430517,0.016803046,0.071912568,0.416785432
Custom_Blood,yolo11n,side_9,labels_side_9,object_only,explicit,1,1105,1105,32,640,0.057514221,0.010868808,0.187144221,0.111322249
Custom_Blood,detr,side_9,labels_side_9,object_only,explicit,1,1105,1105,4,640,0.304456475,0.074262126,0.248032836,0.537133808
brain-tumor,yolov8n,side_1,labels_side_1,multiclass,explicit,1,893,893,32,640,0.489316527,0.328146032,0.458736982,0.837886252
brain-tumor,yolo11n,side_1,labels_side_1,multiclass,explicit,1,893,893,32,640,0.480363361,0.324888897,0.460535666,0.80015674
brain-tumor,detr,side_1,labels_side_1,multiclass,explicit,1,893,893,4,640,0.354718524,0.245828862,0.293411348,0.604231975
brain-tumor,yolov8n,side_1,labels_side_1,object_only,explicit,1,893,893,32,640,0.931613724,0.633207718,0.875308084,0.844706509
brain-tumor,yolo11n,side_1,labels_side_1,object_only,explicit,1,893,893,32,640,0.930336068,0.634667715,0.87915935,0.845273841
brain-tumor,detr,side_1,labels_side_1,object_only,explicit,1,893,893,4,640,0.945174009,0.687436777,0.922004079,0.882913025
brain-tumor,yolov8n,side_3,labels_side_3,multiclass,explicit,1,893,893,32,640,0.317911794,0.136235294,0.163441668,0.827884759
brain-tumor,yolo11n,side_3,labels_side_3,multiclass,explicit,1,893,893,32,640,0.273114777,0.110402454,0.20540555,0.739961188
brain-tumor,detr,side_3,labels_side_3,multiclass,explicit,1,893,893,4,640,0.327536866,0.174176637,0.310394743,0.708986416
brain-tumor,yolov8n,side_3,labels_side_3,object_only,explicit,1,893,893,32,640,0.492360278,0.222695722,0.237057908,0.834024896
brain-tumor,yolo11n,side_3,labels_side_3,object_only,explicit,1,893,893,32,640,0.586237412,0.204641709,0.484273748,0.627309532
brain-tumor,detr,side_3,labels_side_3,object_only,explicit,1,893,893,4,640,0.900192909,0.613020216,0.841571278,0.859618473
brain-tumor,yolov8n,side_5,labels_side_5,multiclass,explicit,1,893,893,32,640,0.180883914,0.045936464,0.071165278,0.103744073
brain-tumor,yolo11n,side_5,labels_side_5,multiclass,explicit,1,893,893,32,640,0.197252438,0.036239155,0.019984248,0.959284968
brain-tumor,detr,side_5,labels_side_5,multiclass,explicit,1,893,893,4,640,0.254693935,0.109352807,0.438252927,0.387580758
brain-tumor,yolov8n,side_5,labels_side_5,object_only,explicit,1,893,893,32,640,0.240914947,0.052530244,0.208730242,0.659751037
