dataset,model,case,labels_dir,class_mode,single_cls,split_mode,effective_batch,effective_imgsz,train_val_during_train,eval_weight_pick,eval_weight_path,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),clean_eval_yaml
construction-ppe,yolov8n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/construction-ppe/yolov8n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.429726674986826,0.19205791664656507,0.6595753713164361,0.39533668516921644,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolo11n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/construction-ppe/yolo11n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.4441001093755547,0.1964913247480939,0.5785237911809507,0.4300860516962361,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolov8n,side_1,labels_side_1,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/construction-ppe/yolov8n__side_1__multiclass__DIRECT/weights/last.pt,0.4995806294204759,0.2207058995043564,0.7720670074118746,0.42989998462093504,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolo11n,side_1,labels_side_1,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/construction-ppe/yolo11n__side_1__multiclass__DIRECT/weights/last.pt,0.49294267044381246,0.2210163050466887,0.6785329974141213,0.47273282233820263,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolov8n,side_5,labels_side_5,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/construction-ppe/yolov8n__side_5__multiclass__DIRECT/weights/last.pt,0.4869384145129223,0.23166854900402079,0.6458763967928756,0.4564102511243236,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolo11n,side_5,labels_side_5,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/construction-ppe/yolo11n__side_5__multiclass__DIRECT/weights/last.pt,0.49092491744214484,0.23501050666620454,0.6229354868023104,0.46099007731023484,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolov8n,side_9,labels_side_9,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/construction-ppe/yolov8n__side_9__multiclass__DIRECT/weights/last.pt,0.48718447327612063,0.23424727323485425,0.6507895514250254,0.44919816288472086,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/construction-ppe/data_eval_clean.yaml
construction-ppe,yolo11n,side_9,labels_side_9,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/construction-ppe/yolo11n__side_9__multiclass__DIRECT/weights/last.pt,0.5016337821741753,0.24049872874174544,0.6965710154392369,0.47023541564307564,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/construction-ppe/data_eval_clean.yaml
brain-tumor,yolov8n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/brain-tumor/yolov8n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.5083046926150807,0.36223593652884345,0.4686678823780341,0.7953472446237895,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/brain-tumor/data_eval_clean.yaml
brain-tumor,yolo11n,scale_0.6,labels_scale_0.6,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/brain-tumor/yolo11n__scale_0.6__multiclass__DIRECT/weights/last.pt,0.4618939504428913,0.3270388748987681,0.4482204379912137,0.8244997621489544,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/brain-tumor/data_eval_clean.yaml
brain-tumor,yolov8n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/brain-tumor/yolov8n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.46995642981053487,0.3298665043352091,0.44377905825571407,0.8031422600388118,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/brain-tumor/data_eval_clean.yaml
brain-tumor,yolo11n,scale_0.8,labels_scale_0.8,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/brain-tumor/yolo11n__scale_0.8__multiclass__DIRECT/weights/last.pt,0.5214511118629825,0.3616114273647669,0.47272475682491,0.8052140072693648,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/brain-tumor/data_eval_clean.yaml
brain-tumor,yolov8n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/brain-tumor/yolov8n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.49874826579963477,0.3591109847361543,0.4624980820975474,0.8213912524257352,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/brain-tumor/data_eval_clean.yaml
brain-tumor,yolo11n,scale_1.2,labels_scale_1.2,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/brain-tumor/yolo11n__scale_1.2__multiclass__DIRECT/weights/last.pt,0.46673012477519116,0.3308566395537786,0.45703578151191565,0.804783278195323,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/brain-tumor/data_eval_clean.yaml
brain-tumor,yolov8n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/brain-tumor/yolov8n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.4834164725369344,0.35216485804600417,0.46875251289041386,0.8483728914763398,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/brain-tumor/data_eval_clean.yaml
brain-tumor,yolo11n,scale_1.4,labels_scale_1.4,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/brain-tumor/yolo11n__scale_1.4__multiclass__DIRECT/weights/last.pt,0.5048803432094979,0.3642946375798745,0.46038194329201976,0.8521109118149806,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/brain-tumor/data_eval_clean.yaml
brain-tumor,yolov8n,side_1,labels_side_1,multiclass,False,explicit,32,640,False,last.pt,/home/ISW/project/object_detect_refine_proposed(100)/brain-tumor/yolov8n__side_1__multiclass__DIRECT/weights/last.pt,0.5042703071378932,0.35995948092099617,0.46686007204692237,0.7846693536348709,/home/ISW/project/object_detect_refine_proposed(100)/_yamls/brain-tumor/data_eval_clean.yaml
